"Month","Transect","Shoot","Subshoot","Days","Old.mm","New.mm","NumLeavs","Prev","mm2.sh.d","sp.prod.mm2","ShootID","Prev.Field","Old.g","New.g","g.sh.d","sp.prod.g","Sheath","Notes"
"July","A",1,"Main",6,7039.937,941.802,4,"1",156.967,"0.0222966483933024","A1",NA,0.2403,0.0247,0.004116667,0.017131364,"101",""
"July","A",2,"Main",6,20611.525,2623.129,5,"1",437.188166666667,"0.0212108597819262","A2",NA,0.7648,0.0701,0.011683333,0.015276325,"193",""
"July","A",3,"Main",6,6261.062,1316.057,3,"1",219.342833333333,"0.03503284799501","A3",NA,0.237,0.0387,0.00645,0.02721519,"127",""
"July","A",4,"Main",6,7448.763,1320.893,5,"1",220.148833333333,"0.0295550863053816","A4",NA,0.2772,0.0281,0.004683333,0.016895142,"138",""
"July","A",5,"Main",6,6807.872,790.647,5,"1",131.7745,"0.019356195298619","A5",NA,0.2029,0.0602,0.010033333,0.049449647,"75",""
"July","A",6,"Main",6,3399.893,53.406,3,"0",8.901,"0.00261802356721226","A6",NA,0.1097,0.0012,2e-04,0.001823154,"120",""
"July","A",7,"Main",6,7940.097,1042.049,5,"1",173.674833333333,"0.0218731374860198","A7",NA,0.2567,0.0354,0.0059,0.022984028,"no data","damaged"
"July","A",8,"Main",6,7423.491,1077.92,4,"1",179.653333333333,"0.0242006534840998","A8",NA,0.2747,0.0302,0.005033333,0.018323019,"65",""
"July","A",9,"Main",6,8142.915,1541.265,5,"0",256.8775,"0.0315461355055284","A9",NA,0.2875,0.0327,0.00545,0.018956522,"115",""
"July","A",10,"Main",6,13609.303,1520.689,4,"1",253.448166666667,"0.0186231555478386","A10",NA,0.4843,0.0358,0.005966667,0.012320187,"173",""
"July","A",11,"Main",6,1621.27,81.202,2,"0",13.5336666666667,"0.00834757114278724","A11",NA,0.1368,0.0023,0.000383333,0.002802144,"105",""
"July","A",12,"Main",6,5551.269,841.657,4,"1",140.276166666667,"0.0252692072149029","A12",NA,0.1809,0.0227,0.003783333,0.020913949,"130",""
