Month,ShootID,Prev,Old.g,New.g,g.sh.d,sp.prod,NumLeaves,Sheath,Notes
June,A1,0,0.1467,0.0191,0.003183333,0.021699614,,74,
June,A2,0,0.2963,0.0425,0.007083333,0.023905951,,128,
June,A3,0,0.2496,0.0298,0.004966667,0.019898504,,119,
June,A4,0,0.374,0.0444,0.0074,0.019786096,,120,
June,A5,0,0.4404,0.0609,0.01015,0.02304723,,129,
June,A7,0,0.2635,0.0332,0.005533333,0.020999367,,109,
June,A9,0,0.1299,0.0098,0.001633333,0.012573775,,70,
June,A12,0,0.1516,0.0208,0.003466667,0.022867194,,90,
June,A13,0,0.6531,0.034,0.005666667,0.008676568,,116,
June,A14,0,0.2049,0.0301,0.005016667,0.024483488,,85,
June,A16,0,0.2734,0.0288,0.0048,0.017556693,,96,
June,A18,0,0.0885,0.0028,0.000466667,0.00527307,,70,
June,A26,0,0.2438,0.0298,0.004966667,0.02037189,,127,
June,A27,0,0.2304,0.0272,0.004533333,0.019675926,,85,
June,A30,0,0.0737,0,0,0,,45,"damaged, no growth"
June,B1,0,0.1695,0.0295,0.004916667,0.029006883,,100,
June,B2,0,0.2096,0.0298,0.004966667,0.023695929,,100,
June,B7,0,0.1237,0.0137,0.002283333,0.018458636,,112.5,
June,B15,0,0.1092,0.0082,0.001366667,0.012515263,,94,
June,B18,0,0.1183,0.0061,0.001016667,0.00859397,,80,
June,B19,0,0.3922,0.0338,0.005633333,0.01436342,,107,
June,B22,0,0.2548,0.027,0.0045,0.017660911,,140,
June,B23,0,0.3507,0.0465,0.00775,0.02209866,,175,
June,B25,0,0.4659,0.0374,0.006233333,0.013379123,,96,
June,C7,0,0.0887,0.007,0.001166667,0.01315295,,84,
June,C10,0,0.3351,0.0612,0.0102,0.030438675,,140,
June,C11,0,0.5721,,,,,130,no pin holes visible
June,C12,0,0.2062,0.0401,0.006683333,0.032411898,,100,
June,C13,0,0.5147,0.0814,0.013566667,0.026358396,,170,
June,C14,0,0.2646,0.046,0.007666667,0.028974553,,125,
June,C15,0,0.1203,0.0173,0.002883333,0.023967858,,85,
June,A6,1,0.1125,0.0144,0.0024,0.021333333,,55,
June,A8,1,0.2798,0.0126,0.0021,0.007505361,,132,
June,A10,1,0.4223,0.0341,0.005683333,0.013458047,,109,
June,A11,1,0.4341,0.0682,0.011366667,0.026184443,,117.5,
June,A15,1,0.0843,0.0068,0.001133333,0.013444049,,53,
June,A17,1,0.4056,0.06,0.01,0.024654832,,40,
June,A19,1,0.1363,0.0145,0.002416667,0.017730496,,67,
June,A20,1,0.1076,0.0095,0.001583333,0.014714994,,73,
June,A21,1,0.0629,0,0,0,,44,
June,A22,1,0.4826,0.0404,0.006733333,0.013952203,,137.5,
June,A23,1,0.371,0.02,0.003333333,0.008984726,,125,
June,A24,1,,,,,,nd,"blades detached, sample lost"
June,A25,1,0.2046,0.0144,0.0024,0.011730205,,85,
June,A28,1,0.2019,0.0196,0.003266667,0.016179627,,64,
June,A29,1,0.2375,0.0151,0.002516667,0.010596491,,102,
June,B3,1,0.2295,,,,,110,sample lost
June,B4,1,,,,,,,sample lost
June,B5,1,0.3437,0.0393,0.00655,0.019057317,,108,
June,B6,1,0.0989,0.0119,0.001983333,0.020053927,,69,
June,B8,1,0.4496,0.0382,0.006366667,0.014160735,,123,
June,B9,1,0.1126,0.0134,0.002233333,0.019834221,,68,
June,B10,1,0.1891,0.0208,0.003466667,0.018332452,,101,
June,B11,1,0.1317,0.0165,0.00275,0.02088079,,90,
June,B12,1,0.0436,0.017,0.002833333,0.064984709,,67,
June,B13,1,0.03801,0.0866,0.014433333,,,106,
June,B14,1,0.2037,0.0081,0.00135,0.006627393,,95.5,
June,B16,1,0.2549,0.047,0.007833333,0.030731006,,137,
June,B17,1,0.2588,0.0286,0.004766667,0.018418341,,122,
June,B20,1,0.4471,0.0441,0.00735,0.016439275,,130,
June,B21,1,0.0381,0.0007,0.000116667,0.003062117,,59,
June,B24,1,0.1231,0.0066,0.0011,0.008935825,,100,
June,B26,1,0.3506,0.0439,0.007316667,0.020868986,,135,
June,B27,1,0.1845,0.0189,0.00315,0.017073171,,120,
June,B28,1,0.2684,0.0336,0.0056,0.020864382,,67,
June,B29,1,0.2128,0.0154,0.002566667,0.012061404,,96,
