type,month,site,file_name,blade_num,prevelance,severity,lesion_area,healthy_area,correct_num
Initial,June,A,In Situ_Initial June__B29.tif,0,1,14.48895834,134.6773926,794.8400333,FALSE
Initial,June,A,In Situ_Initial June__A6.tif,0,1,32.29339915,413.9899706,867.9747078,FALSE
Initial,June,A,In Situ_Initial June__A8.tif,0,1,14.8236919,178.6775686,1026.67377,FALSE
Initial,June,A,In Situ_Initial June__B4.tif,0,1,38.79058204,190.742336,300.9809792,FALSE
Initial,June,A,In Situ_Initial June__B26.tif,0,1,9.849169786,102.4255782,937.5156602,FALSE
Final,June,A,In Situ_Final June__A2.tif,0,1,3.39906764,372.0194656,10572.73083,FALSE
Final,June,A,In Situ_Final June__A12.tif,0,1,0.948362451,57.4743872,6002.907607,FALSE
Final,June,A,In Situ_Final June__A13.tif,0,1,6.96408978,1686.214385,22526.77595,FALSE
Final,June,A,In Situ_Final June__A3.tif,0,1,11.1437423,1032.45177,8232.405064,FALSE
Final,June,A,In Situ_Final June__A1.tif,0,1,5.749034771,371.0217088,6082.613094,FALSE
Final,June,A,In Situ_Final June__A11.tif,0,1,1.613269273,293.2865664,17886.35469,FALSE
Final,June,A,In Situ_Final June__A10.tif,0,1,5.8027478,877.5621619,14245.65518,FALSE
Final,June,A,In Situ_Final June__A4.tif,0,1,12.97799561,1843.655015,12362.35237,FALSE
Final,June,A,In Situ_Final June__A28.tif,0,1,24.15371429,1800.979788,5655.346666,FALSE
Final,June,A,In Situ_Final June__A14.tif,0,1,1.478536332,119.0656448,7933.874432,FALSE
Final,June,A,In Situ_Final June__A15.tif,0,1,4.075599872,133.0522176,3131.552301,FALSE
Final,June,A,In Situ_Final June__A29.tif,0,1,23.96048206,2230.216561,7077.678648,FALSE
Final,June,A,In Situ_Final June__A5.tif,0,1,7.709359569,1218.370716,14585.41564,FALSE
Final,June,A,In Situ_Final June__A7.tif,0,1,6.726764219,671.6341472,9312.871409,FALSE
Final,June,A,In Situ_Final June__A17.tif,0,1,2.990738984,478.5547232,15522.66524,FALSE
Final,June,A,In Situ_Final June__A16.tif,0,1,4.212577686,442.9357043,10071.66456,FALSE
Final,June,A,In Situ_Final June__A6.tif,0,1,15.06172421,767.059248,4325.712584,FALSE
Final,June,A,In Situ_Final June__A27.tif,0,1,14.38462391,1315.588184,7830.206602,FALSE
Final,June,A,In Situ_Final June__A26.tif,0,1,3.606939255,371.8414874,9937.217277,FALSE
Final,June,A,In Situ_Final June__A8.tif,0,1,31.54753265,2926.679572,6350.367873,FALSE
Final,June,A,In Situ_Final June__A30.tif,0,1,12.48470663,337.7307891,2367.4252,FALSE
Final,June,A,In Situ_Final June__A18.tif,0,1,6.172402666,170.9130432,2598.074212,FALSE
Final,June,A,In Situ_Final June__A19.tif,0,1,36.3620221,2079.988545,3640.233887,FALSE
Final,June,A,In Situ_Final June__A25.tif,0,1,17.02193573,1338.462882,6524.702054,FALSE
Final,June,A,In Situ_Final June__A9.tif,0,1,1.798704889,89.4205824,4881.966494,FALSE
Final,June,A,In Situ_Final June__A21.tif,0,1,26.03535899,775.2750112,2202.502293,FALSE
Final,June,A,In Situ_Final June__A20.tif,0,1,9.421270527,427.5199123,4110.295992,FALSE
Final,June,A,In Situ_Final June__A22.tif,0,1,16.69341681,2916.169867,14552.81147,FALSE
Final,June,A,In Situ_Final June__A23.tif,0,1,35.6080148,4214.79978,7621.8606,FALSE
Final,June,C,In Situ_Final June__C10.tif,0,1,0.228133375,30.3282112,13263.74204,FALSE
Final,June,C,In Situ_Final June__C11.tif,0,1,2.90403666,653.1855341,21839.14533,FALSE
