Month,Transect,Shoot,Subshoot,Total leaves,Leaf,Prev,OldArea.mm2,NewArea.mm2,Notes,mm2.l.d
June,A,1,Baby,1,1,0,0,222.499,,37.08316667
June,A,1,Main,5,5,0,1012.55,0,,0
June,A,1,Main,5,4,1,1295.157,0,,0
June,A,1,Main,5,3,0,1570.821,135.107,,22.51783333
June,A,1,Main,5,2,0,1097.6,408.746,,68.12433333
June,A,1,Main,5,1,0,407.14,442.251,,73.7085
June,A,2,Baby,2,2,1,743.66,36.072,,6.012
June,A,2,Baby,2,1,1,43.332,162.22,,27.03666667
June,A,2,Main,4,4,1,3490.705,82.797,,13.7995
June,A,2,Main,4,3,0,3009.543,549.639,,91.6065
June,A,2,Main,4,2,0,1554.77,695.173,,115.8621667
June,A,2,Main,4,1,0,0,447.265,,74.54416667
June,A,3,Baby,1,1,0,0,220.891,,36.81516667
June,A,3,Main,5,5,1,1519.721,0,,0
June,A,3,Main,5,4,1,2047.77,0,,0
June,A,3,Main,5,3,0,2306.48,211.986,,35.331
June,A,3,Main,5,2,0,1741.668,545.12,,90.85333333
June,A,3,Main,5,1,0,241.418,452.37,,75.395
June,A,4,Baby,2,2,0,844.985,294.016,White areas but not lesions?,49.00266667
June,A,4,Baby,2,1,0,83.448,291.028,,48.50466667
June,A,4,Main,5,5,1,3119.732,0,,0
June,A,4,Main,5,4,1,3583.653,99.3,,16.55
June,A,4,Main,5,3,0,2888.631,593.786,-,98.96433333
June,A,4,Main,5,2,0,1458.237,656.179,,109.3631667
June,A,4,Main,5,1,0,20.846,488.933,,81.48883333
June,A,5,Baby,3,3,1,1362.362,0,,0
June,A,5,Baby,3,2,0,1010.329,0,,0
June,A,5,Baby,3,1,0,0,147.031,,24.50516667
June,A,5,Main,5,5,1,3063.597,0,,0
June,A,5,Main,5,4,0,3596.964,787.045,,131.1741667
June,A,5,Main,5,3,0,3056.258,966.287,,161.0478333
June,A,5,Main,5,2,0,1013.939,1008.537,,168.0895
June,A,5,Main,5,1,0,0,80.718,,13.453
June,A,6,Main,4,4,1,1672.062,0,,0
June,A,6,Main,4,3,1,1542.484,123.025,,20.50416667
June,A,6,Main,4,2,0,1132.28,369.791,,61.63183333
June,A,6,Main,4,1,0,123.557,292.477,,48.74616667
June,A,7,Baby,2,2,0,324.353,46.8,,7.8
June,A,7,Baby,2,1,0,14.682,165.206,,27.53433333
June,A,7,Main,6,6,1,1481.976,0,,0
June,A,7,Main,6,5,1,2156.389,22.504,,3.750666667
June,A,7,Main,6,4,0,2145.197,117.798,,19.633
June,A,7,Main,6,3,0,1694.873,585.98,,97.66333333
June,A,7,Main,6,2,0,651.174,647.955,,107.9925
June,A,7,Main,6,1,0,0,85.341,,14.2235
June,A,8,Main,5,5,1,2449.64,0,,0
June,A,8,Main,5,4,1,2853.084,23.945,,3.990833333
June,A,8,Main,5,3,1,1857.058,181.771,,30.29516667
June,A,8,Main,5,2,0,1323.352,374.552,,62.42533333
June,A,8,Main,5,1,0,144.24,295.759,,49.29316667
June,A,9,Main,5,5,1,878.584,0,,0
June,A,9,Main,5,4,0,1043.163,22.769,,3.794833333
June,A,9,Main,5,3,0,1341.687,68.657,,11.44283333
June,A,9,Main,5,2,0,972.176,235.323,,39.2205
June,A,9,Main,5,1,0,283.95,212.26,Pale areas but not laby lesions,35.37666667
June,A,10,Main,6,6,0,2827.843,0,,0
June,A,10,Main,6,5,0,2968.971,24.354,,4.059
June,A,10,Main,6,4,0,3168.839,70.555,,11.75916667
June,A,10,Main,6,3,1,2661.633,443.562,,73.927
June,A,10,Main,6,2,1,1528.843,727.603,,121.2671667
June,A,10,Main,6,1,1,191.587,559.59,,93.265
June,A,11,Baby,2,2,0,819.158,242.104,,40.35066667
June,A,11,Baby,2,1,0,0,270.964,,45.16066667
June,A,11,Main,6,6,1,2223.53,0,,0
June,A,11,Main,6,5,1,2917.641,184.394,,30.73233333
June,A,11,Main,6,4,1,3568.751,198.251,,33.04183333
June,A,11,Main,6,3,0,2218.845,528.619,,88.10316667
June,A,11,Main,6,2,0,2607.305,976.485,,162.7475
June,A,11,Main,6,1,0,640.063,856.668,,142.778
