"Month","Transect","Shoot","Subshoot","Days","Old.mm","New.mm","NumLeavs","Prev","mm2.sh.d","sp.prod.mm2"
"July","A",1,"Main",6,7039.937,941.802,4,"1",156.967,"0.0222966483933024"
"July","A",2,"Main",6,20611.525,2623.129,5,"1",437.188166666667,"0.0212108597819262"
"July","A",3,"Main",6,6261.062,1316.057,3,"1",219.342833333333,"0.03503284799501"
"July","A",4,"Main",6,7448.763,1320.893,5,"1",220.148833333333,"0.0295550863053816"
"July","A",5,"Main",6,6807.872,790.647,5,"1",131.7745,"0.019356195298619"
"July","A",6,"Main",6,3399.893,53.406,3,"0",8.901,"0.00261802356721226"
"July","A",7,"Main",6,7940.097,1042.049,5,"1",173.674833333333,"0.0218731374860198"
"July","A",8,"Main",6,7423.491,1077.92,4,"1",179.653333333333,"0.0242006534840998"
"July","A",9,"Main",6,8142.915,1541.265,5,"0",256.8775,"0.0315461355055284"
"July","A",10,"Main",6,13609.303,1520.689,4,"1",253.448166666667,"0.0186231555478386"
"July","A",11,"Main",6,1621.27,81.202,2,"0",13.5336666666667,"0.00834757114278724"
"July","A",12,"Main",6,5551.269,841.657,4,"1",140.276166666667,"0.0252692072149029"
"July","A",13,"Main",6,8284.451,1148.983,4,"1",191.497166666667,"0.0231152512902384"
"July","A",14,"Main",6,6283.102,1164.547,5,"1",194.091166666667,"0.0308909781612119"
"July","A",15,"Main",6,10286.644,1048.601,5,"1",174.766833333333,"0.0169896842287274"
"July","A",16,"Main",6,9153.794,997.184,5,"1",166.197333333333,"0.0181561146485636"
"July","A",17,"Main",6,5088.344,768.453,3,"1",128.0755,"0.0251703697705973"
"July","A",18,"Main",6,4292.356,457.892,4,"0",76.3153333333333,"0.0177793578476094"
"July","A",19,"Main",6,4540.698,648.221,4,"1",108.036833333333,"0.0237930012815944"
"July","A",20,"Main",6,4502.168,656.187,4,"1",109.3645,"0.0242915191081275"
"July","A",21,"Main",6,3232.402,289.325,3,"1",48.2208333333333,"0.0149179567805407"
"July","A",22,"Main",6,6445.045,859.626,4,"1",143.271,"0.0222296353245012"
"July","A",23,"Main",6,10954.64,1299.292,4,"1",216.548666666667,"0.019767757467764"
"July","A",24,"Main",6,5081.755,307.258,3,"1",51.2096666666667,"0.0100771616629819"
"July","A",25,"Main",6,8564.669,1547.642,6,"0",257.940333333333,"0.030116789491028"
"July","A",26,"Main",6,7824.966,1186.682,5,"1",197.780333333333,"0.0252755517830152"
"July","A",27,"Main",6,6290.958,457.1,5,"1",76.1833333333333,"0.0121099732875873"
"July","A",28,"Main",6,6043.041,598.929,3,"1",99.8215,"0.0165184217681131"
"July","A",29,"Main",6,5507.973,587.639,5,"1",97.9398333333333,"0.0177814657648709"
"July","A",30,"Main",6,4836.701,860.986,4,"1",143.497666666667,"0.0296685006302161"
"July","B",1,"Main",6,9027.531,1262.836,5,"1",210.472666666667,"0.0233145326963338"
"July","B",2,"Main",6,6650.407,1331.782,5,"0",221.963666666667,"0.0333759522788104"
"July","B",3,"Main",6,4426.705,893.065,5,"1",148.844166666667,"0.0336241440680295"
"July","B",4,"Main",6,21088.165,1073.919,5,"1",178.9865,"0.00848753317322773"
"July","B",5,"Main",6,8826.827,1306.672,4,"1",217.778666666667,"0.024672361502799"
"July","B",6,"Main",6,845.405,158.653,2,"0",26.4421666666667,"0.0312775139331642"
"July","B",7,"Main",6,21639.31,2361.544,6,"1",393.590666666667,"0.0181886883947162"
"July","B",8,"Main",6,12058.114,1167.272,5,"1",194.545333333333,"0.0161339769497397"
"July","B",9,"Main",6,5666.492,824.019,4,"1",137.3365,"0.0242365999987294"
"July","B",10,"Main",6,6895.653,1562.111,4,"1",260.351833333333,"0.0377559359981329"
"July","B",11,"Main",6,8546.681,1426.705,3,"1",237.784166666667,"0.027821813715367"
"July","B",12,"Main",6,9980.578,1292.504,4,"1",215.417333333333,"0.0215836531043927"
"July","B",13,"Main",6,2718.477,55.094,4,"1",9.18233333333333,"0.00337774913428855"
"July","B",14,"Main",6,7485.131,873.259,4,"1",145.543166666667,"0.0194443045374445"
"July","B",15,"Main",6,3376.631,222.436,4,"1",37.0726666666667,"0.0109791880328845"
"July","B",16,"Main",6,7879.28,1274.937,4,"1",212.4895,"0.0269681366825395"
"July","B",17,"Main",6,6131.774,987.97,4,"1",164.661666666667,"0.0268538381660294"
"July","B",18,"Main",6,5463.945,1131.821,3,"1",188.636833333333,"0.0345239260888119"
"July","B",19,"Main",6,13049.633,1876.74,4,"1",312.79,"0.023969256453419"
"July","B",20,"Main",6,8034.044,816.85,5,"1",136.141666666667,"0.0169455963480741"
"July","B",21,"Main",6,3741.845,780.176,4,"1",130.029333333333,"0.0347500586831719"
"July","B",22,"Main",6,9241.916,1068.324,5,"1",178.054,"0.0192659184524075"
"July","B",23,"Main",6,6911.856,1382.66,5,"1",230.443333333333,"0.0333402972129821"
"July","B",24,"Main",6,6277.573,1305.943,4,"1",217.657166666667,"0.03467218408558"
"July","B",25,"Main",6,12623.199,1677.444,5,"0",279.574,"0.0221476346843617"
